host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_shared_rooms,reviews_per_month
2022-06-05,within an hour,1.0,1.0,f,t,t,-23.00695,-43.4834,Entire home/apt,8,2.0,3.0,3.0,370.0,1,365,t,30,60,83,357,0,,,,,,,,t,0,
2021-11-25,within an hour,1.0,0.83,f,t,t,-22.968893,-43.188961,Entire home/apt,6,2.0,2.0,2.0,110.0,3,1125,t,0,19,44,319,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0,1.0
2018-04-29,within an hour,1.0,1.0,f,t,t,-22.98329,-43.19377,Entire home/apt,7,3.5,3.0,3.0,1093.0,2,30,t,28,58,77,257,0,,,,,,,,f,0,
2018-03-11,within an hour,0.6,1.0,f,t,f,-22.96567,-43.4749,Private room,3,1.5,1.0,2.0,300.0,1,7,t,30,60,90,365,0,,,,,,,,t,1,
2017-01-04,within an hour,1.0,1.0,f,t,t,-22.91324,-43.2126,Hotel room,4,,1.0,3.0,206.0,3,90,t,9,9,9,180,3,5.0,5.0,4.67,5.0,5.0,5.0,5.0,t,0,0.1
2014-01-21,within an hour,0.87,0.9,f,t,t,-23.03054,-43.47603,Entire home/apt,4,1.0,1.0,1.0,379.0,2,90,t,29,59,83,95,8,4.13,4.13,3.88,4.38,4.13,4.63,4.13,f,0,0.24
2012-04-17,within an hour,1.0,1.0,f,t,t,-22.91461,-43.18939,Entire home/apt,2,1.0,1.0,1.0,160.0,2,90,t,0,0,0,0,3,5.0,5.0,4.67,5.0,5.0,4.67,4.33,f,0,0.78
2016-10-23,,,,f,t,t,-22.90975,-43.19437,Shared room,1,0.0,1.0,1.0,510.0,3,365,t,27,57,87,87,0,,,,,,,,f,1,
2021-10-18,,,0.67,f,t,t,-23.00388,-43.32995,Entire home/apt,4,1.0,2.0,2.0,666.0,5,10,t,0,0,0,140,1,5.0,4.0,5.0,5.0,5.0,5.0,4.0,f,0,0.18
2014-05-06,within a few hours,1.0,0.67,f,t,t,-23.01364,-43.30119,Entire home/apt,7,3.0,5.0,5.0,2500.0,5,1125,t,29,59,89,356,17,5.0,4.88,5.0,5.0,5.0,5.0,4.81,f,0,0.23
2017-10-29,within a few hours,0.83,0.75,f,t,t,-22.9692,-43.18489,Entire home/apt,2,1.0,1.0,1.0,300.0,3,1125,t,2,13,26,278,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0,0.27
2013-06-03,a few days or more,0.0,,f,t,t,-22.94236,-43.20155,Entire home/apt,2,1.0,2.0,2.0,147.0,3,1125,t,20,50,68,343,2,5.0,4.5,5.0,5.0,5.0,4.0,3.5,f,0,0.04
2016-12-28,within an hour,1.0,1.0,t,t,t,-22.91531,-43.1896,Entire home/apt,2,1.0,1.0,1.0,138.0,3,89,t,2,25,34,206,67,4.99,4.99,5.0,5.0,4.99,4.93,4.88,t,0,2.07
2016-04-11,within an hour,1.0,1.0,t,t,t,-23.01066,-43.34399,Entire home/apt,4,2.0,1.0,2.0,650.0,3,1125,t,15,23,40,305,22,5.0,5.0,4.95,4.86,5.0,5.0,4.77,f,0,1.25
2014-05-25,within a day,1.0,0.75,f,t,f,-22.94126,-43.19246,Entire home/apt,3,2.0,2.0,2.0,220.0,10,1125,t,3,3,10,285,4,4.0,4.25,4.5,4.5,4.0,5.0,4.0,f,0,0.26
2012-09-16,,,1.0,f,t,t,-22.98245,-43.22332,Entire home/apt,4,1.5,1.0,2.0,291.0,1,30,t,0,0,0,0,4,3.75,4.25,3.0,4.5,4.75,5.0,4.0,f,0,0.35
2015-03-16,within an hour,0.97,1.0,f,t,t,-23.00431,-43.33998,Entire home/apt,4,1.0,1.0,2.0,250.0,1,1125,t,20,50,80,350,81,4.65,4.75,4.55,4.87,4.84,4.88,4.73,t,0,1.04
